id,gen,sp,ssp,group,en,rec,cnt,loc,lat,lng,alt,type,sex,stage,method,url,file,file-name,sono,osci,lic,q,length,time,date,uploaded,also,rmk,bird-seen,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp
64975,Bleda,ugandae,,birds,Yellow-eyed Bristlebill,Erik Eggenkamp,Uganda,Mabira forest,0.4839,32.9653,?,song,,,field recording,//xeno-canto.org/64975,https://xeno-canto.org/64975/download,Bleda_notatus_ugandae_20100703a1_zang_Mabira_Forest_OEG_LS100341egg-z.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/XIVWTGAUKY/ffts/XC64975-small.png', 'med': '//xeno-canto.org/sounds/uploaded/XIVWTGAUKY/ffts/XC64975-med.png', 'large': '//xeno-canto.org/sounds/uploaded/XIVWTGAUKY/ffts/XC64975-large.png', 'full': '//xeno-canto.org/sounds/uploaded/XIVWTGAUKY/ffts/XC64975-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/XIVWTGAUKY/wave/XC64975-small.png', 'med': '//xeno-canto.org/sounds/uploaded/XIVWTGAUKY/wave/XC64975-med.png', 'large': '//xeno-canto.org/sounds/uploaded/XIVWTGAUKY/wave/XC64975-large.png'}",//creativecommons.org/licenses/by-nc-nd/2.5/,B,0:32,15:11,2010-07-03,2010-11-05,[],bird seen,unknown,unknown,unknown,,,no,,,44100
739383,Anthreptes,tephrolaemus,,birds,Grey-chinned Sunbird,Peter Boesman,Uganda,"Buhoma, Bwindi Impenetrable Forest",-0.989,29.616,,call,,,field recording,//xeno-canto.org/739383,https://xeno-canto.org/739383/download,XC739383-LS_51186 Green Sunbird call C.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739383-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739383-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739383-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739383-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC739383-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC739383-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC739383-large.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,C,0:19,08:00,2022-06-25,2022-07-27,[],,unknown,unknown,unknown,,,no,,,48000
138295,Alopochen,aegyptiaca,,birds,Egyptian Goose,Bram Piot,Uganda,"Botanical Gardens Entebbe, Wakisso District",0.064,32.479,1100,call,,,field recording,//xeno-canto.org/138295,https://xeno-canto.org/138295/download,XC138295-EgyptianGoose_Entebbe_20130607_edited.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/ffts/XC138295-small.png', 'med': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/ffts/XC138295-med.png', 'large': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/ffts/XC138295-large.png', 'full': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/ffts/XC138295-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/wave/XC138295-small.png', 'med': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/wave/XC138295-med.png', 'large': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/wave/XC138295-large.png'}",//creativecommons.org/licenses/by-nc-sa/3.0/,C,0:11,17:30,2013-06-07,2013-06-13,[],,yes,yes,no,,,no,,,44100
282032,Anas,undulata,undulata,birds,Yellow-billed Duck,Rolf A. de By,Uganda,northwest of Lk Mburo NP,-0.55,30.82,1340,call,,,field recording,//xeno-canto.org/282032,https://xeno-canto.org/282032/download,XC282032-rdb_11092015_1558_Yellowbilled_Duck.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/PTYTXQRLSZ/ffts/XC282032-small.png', 'med': '//xeno-canto.org/sounds/uploaded/PTYTXQRLSZ/ffts/XC282032-med.png', 'large': '//xeno-canto.org/sounds/uploaded/PTYTXQRLSZ/ffts/XC282032-large.png', 'full': '//xeno-canto.org/sounds/uploaded/PTYTXQRLSZ/ffts/XC282032-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/PTYTXQRLSZ/wave/XC282032-small.png', 'med': '//xeno-canto.org/sounds/uploaded/PTYTXQRLSZ/wave/XC282032-med.png', 'large': '//xeno-canto.org/sounds/uploaded/PTYTXQRLSZ/wave/XC282032-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,C,1:08,15:58,2015-09-11,2015-09-20,"['Dendrocygna viduata', 'Actitis hypoleucos']",,yes,yes,no,,,no,,,44100
117039,Numida,meleagris,meleagris,birds,Helmeted Guineafowl,Rory Nefdt,Uganda,"Lake Victoria Serena Resort, Kyadondo, Mpigi, Central Region",0.2046,32.5836,1200,"call, song",,,field recording,//xeno-canto.org/117039,https://xeno-canto.org/117039/download,XC117039-10_Helmeted_Guineafowl_Uganda_17Dec12_1855.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/QUBGGKWQNN/ffts/XC117039-small.png', 'med': '//xeno-canto.org/sounds/uploaded/QUBGGKWQNN/ffts/XC117039-med.png', 'large': '//xeno-canto.org/sounds/uploaded/QUBGGKWQNN/ffts/XC117039-large.png', 'full': '//xeno-canto.org/sounds/uploaded/QUBGGKWQNN/ffts/XC117039-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/QUBGGKWQNN/wave/XC117039-small.png', 'med': '//xeno-canto.org/sounds/uploaded/QUBGGKWQNN/wave/XC117039-med.png', 'large': '//xeno-canto.org/sounds/uploaded/QUBGGKWQNN/wave/XC117039-large.png'}",//creativecommons.org/licenses/by-nc-sa/3.0/,B,0:13,19:00,2012-12-17,2013-01-08,[],,yes,yes,no,,,no,,,44100
739976,Ptilopachus,petrosus,,birds,Stone Partridge,Peter Boesman,Uganda,Pian Upe National Park,1.846086,34.289982,,song,,,field recording,//xeno-canto.org/739976,https://xeno-canto.org/739976/download,XC739976-LS_50504 Stone Partridge song B.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739976-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739976-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739976-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739976-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC739976-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC739976-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC739976-large.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:23,17:30,2022-06-13,2022-07-27,[],Song at dusk.,unknown,unknown,unknown,,,no,,,48000
739975,Ptilopachus,nahani,,birds,Nahan's Partridge,Peter Boesman,Uganda,Royal Mile Budongo forest,1.710845,31.542134,,song,,,field recording,//xeno-canto.org/739975,https://xeno-canto.org/739975/download,XC739975-LS_50848 Nahan Francolin song A.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739975-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739975-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739975-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739975-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC739975-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC739975-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC739975-large.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:21,08:00,2022-06-19,2022-07-27,[],,unknown,unknown,unknown,,,no,,,48000
739974,Ptilopachus,nahani,,birds,Nahan's Partridge,Peter Boesman,Uganda,Royal Mile Budongo forest,1.710845,31.542134,,"call, song, song and call",,,field recording,//xeno-canto.org/739974,https://xeno-canto.org/739974/download,XC739974-LS_50846 Nahan Francolin call and song A.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739974-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739974-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739974-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739974-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC739974-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC739974-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC739974-large.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:47,08:00,2022-06-19,2022-07-27,[],,unknown,unknown,unknown,,,no,,,48000
739973,Ptilopachus,nahani,,birds,Nahan's Partridge,Peter Boesman,Uganda,Budongo Eco lodge,1.917326,31.719824,,song,,,field recording,//xeno-canto.org/739973,https://xeno-canto.org/739973/download,XC739973-LS_50789 Nahan Francolin song B.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739973-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739973-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739973-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739973-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC739973-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC739973-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC739973-large.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:19,09:00,2022-06-18,2022-07-27,[],,unknown,unknown,unknown,,,no,,,48000
739972,Ptilopachus,nahani,,birds,Nahan's Partridge,Peter Boesman,Uganda,Budongo Eco lodge,1.917326,31.719824,,song,,,field recording,//xeno-canto.org/739972,https://xeno-canto.org/739972/download,XC739972-LS_50787 Nahan Francolin song B Red-tailed Ant Thrush song.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739972-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739972-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739972-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739972-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC739972-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC739972-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC739972-large.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:24,09:00,2022-06-18,2022-07-27,['Neocossyphus rufus'],,unknown,unknown,unknown,,,no,,,48000
166387,Ptilopachus,nahani,,birds,Nahan's Partridge,Sander Bot,Uganda,Mabira Forest Pond,0.411,33.048,1200,song,,,field recording,//xeno-canto.org/166387,https://xeno-canto.org/166387/download,XC166387-NahansPartridge30Jan2014MabiraForestUganda.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/HZKCNRIPRH/ffts/XC166387-small.png', 'med': '//xeno-canto.org/sounds/uploaded/HZKCNRIPRH/ffts/XC166387-med.png', 'large': '//xeno-canto.org/sounds/uploaded/HZKCNRIPRH/ffts/XC166387-large.png', 'full': '//xeno-canto.org/sounds/uploaded/HZKCNRIPRH/ffts/XC166387-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/HZKCNRIPRH/wave/XC166387-small.png', 'med': '//xeno-canto.org/sounds/uploaded/HZKCNRIPRH/wave/XC166387-med.png', 'large': '//xeno-canto.org/sounds/uploaded/HZKCNRIPRH/wave/XC166387-large.png'}",//creativecommons.org/licenses/by-nc-sa/3.0/,C,0:26,?,2014-01-31,2014-02-07,[],,no,no,no,,,no,,,44100
292767,Ptilopachus,nahani,,birds,Nahan's Partridge,Martin St-Michel,Uganda,Budongo Forest,1.7158,31.5418,1100,song,,,field recording,//xeno-canto.org/292767,https://xeno-canto.org/292767/download,XC292767-Budongo-2015-03-14-08h34 LS115259.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/ffts/XC292767-small.png', 'med': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/ffts/XC292767-med.png', 'large': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/ffts/XC292767-large.png', 'full': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/ffts/XC292767-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/wave/XC292767-small.png', 'med': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/wave/XC292767-med.png', 'large': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/wave/XC292767-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,D,0:20,08:34,2015-03-14,2015-11-30,[],Habitat: secondary evergreen forest.,no,no,no,,,no,,,44100
739639,Ortygornis,sephaena,,birds,Crested Francolin,Peter Boesman,Uganda,Queen Elizabeth National Park,-0.712,29.6301,,call,,,field recording,//xeno-canto.org/739639,https://xeno-canto.org/739639/download,XC739639-LS_51130 Crested Francolin call B.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739639-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739639-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739639-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739639-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC739639-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC739639-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC739639-large.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:58,06:00,2022-06-24,2022-07-27,[],,unknown,unknown,unknown,,,no,,,48000
281986,Ortygornis,sephaena,grantii,birds,Crested Francolin,Rolf A. de By,Uganda,north of Lk Mburo NP,-0.48,31.03,1310,call,,,field recording,//xeno-canto.org/281986,https://xeno-canto.org/281986/download,XC281986-rdb_09092015_1807_Crested_Francolin.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/PTYTXQRLSZ/ffts/XC281986-small.png', 'med': '//xeno-canto.org/sounds/uploaded/PTYTXQRLSZ/ffts/XC281986-med.png', 'large': '//xeno-canto.org/sounds/uploaded/PTYTXQRLSZ/ffts/XC281986-large.png', 'full': '//xeno-canto.org/sounds/uploaded/PTYTXQRLSZ/ffts/XC281986-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/PTYTXQRLSZ/wave/XC281986-small.png', 'med': '//xeno-canto.org/sounds/uploaded/PTYTXQRLSZ/wave/XC281986-med.png', 'large': '//xeno-canto.org/sounds/uploaded/PTYTXQRLSZ/wave/XC281986-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,3:09,18:07,2015-09-09,2015-09-20,[],Some handling and wind noise; source bird also somewhat out of focus.,no,no,no,,,no,,,44100
